symbol,name,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated
xrd,Radix,0.05,536168729,78,1285598321,323133.0,0.06,0.05,-0.0,-2.597,-13401071.06,-2.4385,10009385741.46,12409367778.043,24000000000.0,0.65,-91.77,2021-11-14 16:09:27.130000 UTC,0.05,1.81,2022-10-15 05:27:24.206000 UTC,2022-10-18 03:05:58.307000 UTC
ar,Arweave,10.16,508978953,79,670397429,12632867.0,10.25,9.81,0.22,2.2337,11158240.0,2.2414,50108502.0,64598643.0,66000000.0,89.24,-88.62,2021-11-05 04:14:42.689000 UTC,0.3,3299.59,2020-01-31 06:47:36.543000 UTC,2022-10-18 03:04:40.545000 UTC
paxg,PAX Gold,1645.02,499767343,80,,6265298.0,1660.21,1640.56,3.02,0.1839,970569.0,0.1946,303808.21,303808.208,,2241.37,-26.61,2021-05-17 19:02:29.657000 UTC,1399.64,17.53,2019-11-18 03:09:35.959000 UTC,2022-10-18 03:04:37.628000 UTC
nexo,NEXO,0.88,493835992,81,881849971,3220908.0,0.88,0.87,0.01,1.7147,8118132.0,1.6714,560000010.01,1000000000.0,1000000000.0,4.07,-78.32,2021-05-12 14:37:47.535000 UTC,0.05,1853.04,2018-09-13 00:00:00.000000 UTC,2022-10-18 03:04:35.217000 UTC
crv,Curve DAO,0.88,482574207,82,2920356695,73469360.0,0.9,0.81,0.07,8.6883,163397933.0,51.1936,545809088.58,1837955208.95409,3303030299.0,15.37,-94.25,2020-08-14 00:00:00.000000 UTC,0.33,166.65,2020-11-05 13:09:50.181000 UTC,2022-10-18 03:05:14.155000 UTC
ens,Ethereum Name Service,18.71,481230567,83,1866447704,84496436.0,19.9,18.66,-0.87,-4.4405,-24117181.74,-4.7724,25783233.34,100000000.0,100000000.0,83.4,-77.61,2021-11-11 02:20:01.099000 UTC,7.45,150.53,2022-06-14 02:00:36.378000 UTC,2022-10-18 03:05:26.706000 UTC
bit,BitDAO,0.44,476217615,84,4428255661,8001822.0,0.44,0.44,0.0,0.7737,3330635.0,0.7043,1075406778.14,10000000000.0,10000000000.0,3.1,-85.72,2021-11-12 04:54:56.433000 UTC,0.4,10.17,2022-06-18 20:44:32.363000 UTC,2022-10-18 03:04:41.949000 UTC
cspr,Casper Network,0.05,476077466,85,,62398909.0,0.05,0.05,-0.0,-3.9397,-18753655.88,-3.7899,10430635438.0,11223229847.0,,1.33,-96.55,2021-05-12 00:00:00.000000 UTC,0.02,103.99,2022-06-18 20:14:44.694000 UTC,2022-10-18 03:05:44.331000 UTC
zil,Zilliqa,0.03,471139440,86,661184614,27729733.0,0.03,0.03,0.0,3.6295,16622863.0,3.6573,14963942050.8,21000000000.0,21000000000.0,0.26,-87.66,2021-05-06 17:33:45.940000 UTC,0.0,1214.9,2020-03-13 02:22:55.161000 UTC,2022-10-18 03:04:57.686000 UTC
rune,THORChain,1.54,461970290,87,768156681,39441006.0,1.56,1.47,0.06,4.2241,18522210.0,4.1769,300700561.0,500000000.0,500000000.0,20.87,-92.64,2021-05-19 00:30:09.436000 UTC,0.01,17944.13,2019-09-28 00:00:00.000000 UTC,2022-10-18 03:04:30.692000 UTC
twt,Trust Wallet,1.1,459540685,88,,12473338.0,1.11,1.03,0.06,5.8754,24895594.0,5.7278,416649900.0,1000000000.0,,1.64,-32.73,2021-09-05 04:29:59.672000 UTC,0.0,39625.46,2020-06-09 09:15:06.983000 UTC,2022-10-18 03:04:36.279000 UTC
